date,t,up,up_pred,price
2012-03-26,6848,1,1,13241.629883
2012-03-27,6849,1,0,13197.730469
2012-03-28,6850,0,1,13126.209961
2012-03-29,6851,0,1,13145.820313
2012-03-30,6852,0,1,13212.040039
2012-04-02,6853,0,1,13264.490234
2012-04-03,6854,0,1,13199.549805
2012-04-04,6855,0,1,13074.75
2012-04-05,6856,0,1,13060.139648
2012-04-09,6857,0,1,12929.589844
2012-04-10,6858,1,1,12715.929688
2012-04-11,6859,1,1,12805.389648
2012-04-12,6860,0,0,12986.580078
2012-04-13,6861,1,0,12849.589844
2012-04-16,6862,1,0,12921.410156
2012-04-17,6863,0,1,13115.540039
2012-04-18,6864,1,0,13032.75
2012-04-19,6865,1,0,12964.099609
2012-04-20,6866,1,0,13029.259766
2012-04-23,6867,1,1,12927.169922
2012-04-24,6868,1,1,13001.55957
2012-04-25,6869,1,1,13090.719727
2012-04-26,6870,1,1,13204.620117
2012-04-27,6871,0,1,13228.30957
2012-04-30,6872,0,1,13213.629883
2012-05-01,6873,0,1,13279.320313
2012-05-02,6874,0,1,13268.570313
2012-05-03,6875,0,1,13206.589844
2012-05-04,6876,0,1,13038.269531
2012-05-07,6877,0,1,13008.530273
2012-05-08,6878,0,1,12932.089844
2012-05-09,6879,0,1,12835.05957
2012-05-10,6880,0,1,12855.040039
2012-05-11,6881,0,1,12820.599609
2012-05-14,6882,0,1,12695.349609
2012-05-15,6883,0,1,12632.0
2012-05-16,6884,0,1,12598.549805
2012-05-17,6885,1,1,12442.490234
2012-05-18,6886,1,1,12369.379883
2012-05-21,6887,1,1,12504.480469
2012-05-22,6888,0,0,12502.80957
2012-05-23,6889,0,0,12496.150391
2012-05-24,6890,0,0,12529.75
2012-05-25,6891,0,1,12454.830078
2012-05-29,6892,0,1,12580.69043
2012-05-30,6893,0,0,12419.860352
2012-05-31,6894,1,0,12393.450195
2012-06-01,6895,1,1,12118.570313
2012-06-04,6896,1,0,12101.459961
2012-06-05,6897,1,0,12127.950195
2012-06-06,6898,1,1,12414.790039
